id_user,word1,word2,totals
suka_case_suka,case,jersey,1
suka_case_suka,jersey,guys,1
suka_case_suka,guys,wanna,1
suka_case_suka,respons,jualcustomcase,1
suka_case_suka,jualcustomcase,caseku,1
suka_case_suka,caseku,casekeren,1
suka_case_suka,casekeren,caseunikmurah,1
suka_case_suka,caseunikmurah,caseoppo,3
suka_case_suka,gameboycase,casekeren,1
suka_case_suka,casekeren,casebaru,1
suka_case_suka,casebaru,casesolomurah,1
suka_case_suka,casesolomurah,casebandung,1
suka_case_suka,customcasesurabaya,customcasebaru,1
suka_case_suka,customcasebaru,murahmeriah,1
suka_case_suka,murahmeriah,caseoppo,1
suka_case_suka,casecouple,customcasesurabaya,1
suka_case_suka,customcasesurabaya,casemurahbanget,1
suka_case_suka,casemurahbanget,onlineshopbandung,1
suka_case_suka,caseoppo,jualcustomcase,1
suka_case_suka,jualonlinemurah,customcaseku,1
suka_case_suka,customcaseku,caseunikmurah,2
suka_case_suka,casevivo,casesamsungs8,2
suka_case_suka,casesamsungs8,casemurah,1
suka_case_suka,wayang,is,1
suka_case_suka,is,from,1
suka_case_suka,from,indonesia,1
suka_case_suka,indonesia,mari,1
suka_case_suka,mari,budayakan,1
suka_case_suka,budayakan,wayang,1
suka_case_suka,wayang,artis,1
suka_case_suka,artis,customcasesurabaya,1
suka_case_suka,customcasesurabaya,jualonlinemurah,1
suka_case_suka,mengingatkan,untuk,1
suka_case_suka,untuk,makan,1
suka_case_suka,makan,mieee,1
suka_case_suka,mieee,eh,1
suka_case_suka,eh,tp,1
suka_case_suka,tp,jangan,1
suka_case_suka,jangan,banyak2,1
suka_case_suka,banyak2,cukup,1
suka_case_suka,cukup,casenya,1
suka_case_suka,casenya,aja,1
suka_case_suka,aja,yang,1
suka_case_suka,yang,bentuk,1
suka_case_suka,bentuk,indomie,1
suka_case_suka,indomie,cinta,1
suka_case_suka,cinta,indonesia,1
suka_case_suka,indonesia,indomie,1
suka_case_suka,indomie,caseindomie,1
suka_case_suka,caseindomie,artis,1
suka_case_suka,artis,customcaseku,1
suka_case_suka,customcaseku,caseoppo,2
suka_case_suka,baju,batik,1
suka_case_suka,batik,jaket,1
suka_case_suka,jaket,batik,1
suka_case_suka,batik,yakin,1
suka_case_suka,yakin,gak,1
suka_case_suka,gak,mau,1
suka_case_suka,mau,case,1
suka_case_suka,case,batik,1
suka_case_suka,batik,wanna,1
suka_case_suka,fast,respon,3
suka_case_suka,respon,jualcustomcase,1
suka_case_suka,jualcustomcase,casesonny,1
suka_case_suka,casesonny,casevivo,1
suka_case_suka,casevivo,casexiaomi,2
suka_case_suka,casexiaomi,casesamsungj32016,2
suka_case_suka,mau,custom,2
suka_case_suka,custom,case,13
suka_case_suka,case,sesuai,2
suka_case_suka,sesuai,keinginan,8
suka_case_suka,keinginan,banyak,2
suka_case_suka,banyak,keuntungannya,2
suka_case_suka,keuntungannya,free,2
suka_case_suka,free,desain,3
suka_case_suka,desain,sendiri,10
suka_case_suka,sendiri,seharga,13
suka_case_suka,seharga,rp,28
suka_case_suka,rp,15000,14
suka_case_suka,15000,free,8
suka_case_suka,free,tulis,3
suka_case_suka,tulis,nama,8
suka_case_suka,nama,biar,2
suka_case_suka,biar,gak,2
suka_case_suka,gak,ketuker,2
suka_case_suka,ketuker,seharga,2
suka_case_suka,rp,10000,14
suka_case_suka,10000,free,2
suka_case_suka,free,revisi,2
suka_case_suka,revisi,sampai,3
suka_case_suka,sampai,sesuai,7
suka_case_suka,sesuai,dengan,7
suka_case_suka,dengan,keinginan,2
suka_case_suka,keinginan,unlimited,2
suka_case_suka,unlimited,pengerjaan,2
suka_case_suka,pengerjaan,12,9
